operatingunit,mechanismid,primepartner,implementingmechanismname
Cote d'Ivoire,18296,"Ministry of Family, Women, and Social Affairs, Cote d?Ivoire",MPFFPE/PNOEV - Follow-on
Cote d'Ivoire,18292,Sante Espoir Vie - Cote d'Ivoire,STRONG 3 - SEVCI
Cote d'Ivoire,13651,Elizabeth Glaser Pediatric AIDS Foundation,EGPAF international CDC CoAg 2011-Djidja
Cote d'Ivoire,18287,Heartland Alliance,Key population Consortium - PROTECT
Cote d'Ivoire,16691,Johns Hopkins University Bloomberg School of Public Health,HC3
Cote d'Ivoire,17610,Aga Khan Foundation,Telemedicine in C?te d'Ivoire
Cote d'Ivoire,17494,Health Alliance International,HAI  coag2015
Cote d'Ivoire,13624,Sante Espoir Vie - Cote d'Ivoire,SEV-CI CDC CoAg 2011
Cote d'Ivoire,11491,U.S. Department of Health and Human Services/Centers for Disease Control and Prevention (HHS/CDC),CDC-RETRO-CI GHAI
Cote d'Ivoire,13616,Columbia University Mailman School of Public Health,Columbia University ICAP - CDC  CoAg 2011
Cote d'Ivoire,13539,International Rescue Committee,IRC 2010 CDC Coag
Cote d'Ivoire,18289,Columbia University,Columbia University - ICAP - Follow-on
Cote d'Ivoire,18289,Columbia University Mailman School of Public Health,Columbia University - ICAP - Follow-on
Cote d'Ivoire,18293,Elizabeth Glaser Pediatric AIDS Foundation,STRONG 4 - EGPAF KeneyaDougou
Cote d'Ivoire,18294,Pasteur Institute of Ivory Coast,IPCI - Follow-on - Pasteur Institute of Cote d'Ivoire
Cote d'Ivoire,16685,Abt Associates,HFG (Health Finance and Governance)
Cote d'Ivoire,18597,Fondation Ariel Glaser Pour la Lutte Contre le Sida Pediatrique en Cote D'Ivoire,Fondation ARIEL  New 2018
Cote d'Ivoire,17914,ITECH,CDC TBD LABQUASY
Cote d'Ivoire,18597,TBD,Fondation ARIEL - Follow-on TBD
Cote d'Ivoire,18295,"Ministry of Health and Public Hygiene, Cote d'Ivoire",Ministry of Health - Follow-on
Cote d'Ivoire,17496,Population Services International,PSI Cote d'Ivoire
Cote d'Ivoire,18595,Sante Espoir Vie - Cote d'Ivoire,SEVCI New 2018
Cote d'Ivoire,18595,TBD,ACONDA VS - Follow-on TBD
Cote d'Ivoire,18295,TBD,Ministry of Health - Follow-on
Cote d'Ivoire,13561,ACONDA,ACONDA CoAg 2011
Cote d'Ivoire,13272,Elizabeth Glaser Pediatric AIDS Foundation,EGPAF OVC-AB 2010 CDC Coag-Keneya
Cote d'Ivoire,17515,Save The Children Federation Inc,REVE Reducing Vulerability in Children
Cote d'Ivoire,13631,Fondation Ariel Glaser Pour la Lutte Contre le Sida Pediatrique en Cote D'Ivoire,Fondation Ariel CDC CoAg 2011
Democratic Republic of the Congo,18090,FHI 360,Linkages Across the Continuum of HIV Services for Key Populations Affected by HIV (Linkages)
Democratic Republic of the Congo,18096,"International Center for AIDS Care and Treatment Programs, Columbia University","Increase Access to Comprehensive HIV/AIDS Prevention, Care, and Treatment Services in DRC under PEPFAR"
Democratic Republic of the Congo,18094,Pathfinder International,KIPA /EVIDENCE TO ACTION-PROVIC PLUS
Democratic Republic of the Congo,18370,Global Health Supply Chain Program,Global Health Supply Chain Program
Democratic Republic of the Congo,18091,Pathfinder International,Kipa Ya Mupia/Evidence to Action - PROSANI Plus
Democratic Republic of the Congo,16963,Elizabeth Glaser Pediatric AIDS Foundation,Increase Access to Comprehensive HIV/AIDS Prevention Care and Treatment Services in the Democratic Republic of Congo under (PEPFAR) (KIMIA)
Democratic Republic of the Congo,18092,Program for Appropriate Technology in Health,Integrated HIV/AIDS Project Haut-Katanga/Lualaba
Democratic Republic of the Congo,18092,TBD,Integrated Health Program-Katanga (IHP-Katanga)
Democratic Republic of the Congo,17630,Education Development Center,Enhancing Services and Linkages for Children affected by HIV and AIDS (ELIKIA )
Democratic Republic of the Congo,70063,TBD,TBD - Facility - Clinical
Democratic Republic of the Congo,18093,Elizabeth Glaser Pediatric AIDS Foundation,Integrated HIV/AIDS Project Kinshasa
Democratic Republic of the Congo,18093,TBD,Integrated HIV/AIDS Project (IHAP)
Democratic Republic of the Congo,70064,TBD,TBD - Community
Democratic Republic of the Congo,17636,Population Services International,SIFPO
Democratic Republic of the Congo,17628,Catholic Relief Services,Coordinating Comprehensive Care for Children (4Children)
Democratic Republic of the Congo,11054,Population Services International,HIV/AIDS activities in the DRC Armed Forces
Democratic Republic of the Congo,17177,SANRU,SANRU Clinical and PMTCT Scale-up
Ethiopia,13934,Addis Ababa Health Bureau,Strengthening local ownership for sustainable provision of HIV/AIDS services
Ethiopia,10599,American International Health Alliance Twinning Center,Twinning Initiative
Ethiopia,18519,Population Services International,USAID Prevention Follow On
Ethiopia,18519,TBD,USAID Prevention Follow On
Ethiopia,18337,Federal Prison Administration of Ethiopia,Comprehensive HIV/AIDS Services for Delivery for Inmates in the Federal Prison Administration
Ethiopia,14232,"Pact, Inc.",Yekokeb Berhan
Ethiopia,16751,Ethiopian Public Health Institute,"Strengthening Capacity for Laboratory Systems, Strategic Information, and Technical Leadership in Public Health for the National HIV/AIDS Response in Ethiopia"
Ethiopia,70076,[Placeholder],[Placeholder - 70076 Ethiopia HHS/CDC]
Ethiopia,14209,JHPIEGO,Strengthening Human Resources for Health
Ethiopia,17825,Project HOPE,USAID Community Care and Treatment
Ethiopia,13929,Dire Dawa City Administration Health Bureau,Dire-Dawa Health Bureau HIV/AIDS program
Ethiopia,18338,JHPIEGO,Strengthening HIV Services Quality Improvement and Quality Management Systems
Ethiopia,17825,Project HOPE,Strengthening Community Response to HIV/AIDS (SCRH)
Ethiopia,12306,Organization for Social Services for AIDS (OSSA),Increasing Access of VCT services to hot spot urban-rural setting and improving care and support at the community level in Federal Democratic Republic of Ethiopia under the President?s Emergency Plan for AIDS
Ethiopia,16798,FHI 360,FHI 360 Ethiopia
Ethiopia,10548,Jimma University,TBD-G2G HIV/AIDS Anti-Retroviral Therapy Programme Implementation Support through Local Universities
Ethiopia,14228,Population Services International,MULU Prevention Program for At-Risk Populations I (MULU I)
Ethiopia,13770,Harari Regional Health Bureau,Support to GOE Regional Health Bureau in Harari
Ethiopia,16738,Ethiopian Public Health Association,"Improving Public Health Practices and Service Delivery in the Federal Democratic Republic of Ethiopia with a Focus on HIV, Sexually Transmitted Infections, and Tuberculosis"
Ethiopia,13948,Columbia University Mailman School of Public Health,Nursing Capacity Building Program
Ethiopia,13053,Family Guidance Association of Ethiopia,Strengthening Integration of PMTCT/STIs/HTC with Reproductive Health Services at Family Guidance Association's of Ethiopia Clinics and Youth Centers
Ethiopia,14210,"John Snow, Inc.",Strengthening Ethiopia's Urban Health Program
Ethiopia,17824,Abt Associates,Private Health Sector Project
Ethiopia,17824,Abt Associates,Strengthening Private Health Sector Program
Ethiopia,13932,Haramaya University,HIV/AIDS Antiretroviral therapy program implementation support through local universities
Ethiopia,17843,FHI 360,USAID Caring for Vulnerable Children
Ethiopia,17843,TBD,Ethiopia Highly Vulnerable Children Program
Ethiopia,16749,Columbia University,Technical Assistance for the Transition of Comprehensive HIV/AIDS Programs and Medical Education to Ethiopia
Ethiopia,13794,"Oromia Health Bureau, Ethiopia",Oromia Regional Health Bureau HIV/AIDS program
Ethiopia,10517,Hawassa University,TBD-G2G HIV/AIDS Antiretroviral Therapy Programme Implementation support through local universities
Ethiopia,17635,KNCV Tuberculosis Foundation,Challenge TB
Ethiopia,12319,"Federal Police, Ethiopia",Integrated HIV Prevention Program for Federal Police Force of Ethiopia
Ethiopia,18375,Global Health Supply Chain Program,Global Health Supply Chain Program
Ethiopia,14230,World Learning,MULU Prevention Program for At-Risk Populations in Workplace (MULU II)
Ethiopia,17000,Tigray Regional Health Bureau,Strengthening Local Ownership for the Sustainable Provision of Comprehensive HIV/AIDS Services by the Health Bureau of Tigray Regional State of the Federal Democratic Republic of Ethiopia under the President?s Emergency Plan for AIDS Relief (PEPFAR)
Ethiopia,10557,Mekele University,TBD-G2G HIV/AIDS Anti-Retroviral Therapy Program Implementation Support through Local Universities
Ethiopia,11040,United Nations High Commissioner for Refugees,HIV in Refugee Camps
Ethiopia,70077,[Placeholder],[Placeholder - 70077 Ethiopia HHS/CDC]
Ethiopia,70073,TBD,[Placeholder - 70073 Ethiopia DOD]
Ethiopia,7515,U.S. Department of Defense (Defense),DoD Mech Ethiopia
Ethiopia,16742,National Defense Forces of Ethiopia,"Comprehensive HIV Prevention, Care and Treatment for the National Defense Force of Ethiopia (NDFE)"
Ethiopia,18341,TBD,Technical Assistance to National Health Information Systems and Health Workforce Development
Ethiopia,16752,Amhara Regional Health Bureau,Strengthening Local Ownership for the Sustainable Provision of HIV/AIDS Services in the Regional Health Bureaus (Amhara)
Ethiopia,17746,Peace Corps  Volunteers,Peace Corps/Ethiopia Volunteer Trainings and Small Grants
Ethiopia,17271,"Ethiopian Society of Sociologists, Social Workers and Anthropologists",Capacity Building of Local Organizations
Ethiopia,70075,[Placeholder],[Placeholder - 70075 Ethiopia HHS/CDC]
Ethiopia,18339,Family Guidance Association of Ethiopia,Integration of HIV Services in SRH Clinics and Confidential Clinics for Commercial Sex Workers
Ethiopia,16901,SNNPR,Strengthening local ownership for sustainable provision of HIV/AIDS services
Ethiopia,12321,Gondar University,HIV/AIDS Antiretroviral therapy implementation support through local universities
Ethiopia,10601,Addis Ababa University,"G2G-TBD - Addis Ababa University - Strengthening HIV/AIDS, STI & TB Prevention, Care & Treatment Activities"
Ghana,17318,John Snow Inc (JSI),Strengthening the Care Continuum
Ghana,17318,John Snow Inc (JSI),Strengthening the KP Care Continuum
Ghana,17049,West Africa PROGRAM to Combat AIDS and STIs,RISK (HIV/AIDS Response through Innovative Strategies for Key Populations)
Ghana,18428,Association of Public Health Laboratories,APHL
Ghana,18424,TBD,TBD- Improving the Ghana Armed Forces HIV Program
Ghana,18411,Right to Care,EQUIP
Ghana,11951,Ghana Health Service,GHS
Kenya,13882,Children of God Relief Institute,Integrated Program for both HIV infected and affected children and their households
Kenya,17719,Pathfinder International,APHIAPlus Pwani
Kenya,17719,TBD,APHIAPlus Coast Follow-on
Kenya,16684,Elizabeth Glaser Pediatric AIDS Foundation,Kenya Disciplined Services ZUIA
Kenya,9110,Association of Public Health Laboratories,APHL
Kenya,12083,Liverpool VCT and Care,Community HTC
Kenya,18204,University of Nairobi,UON CRISSP Plus
Kenya,18496,JHPIEGO,HIV Service Delivery Support Activity (HSDSA) - Cluster 3
Kenya,18496,JHPIEGO,HIV/AIDS Clinical Services Cluster 3
Kenya,17947,African Medical and Research Foundation,Implementation of Sustainable Laboratory Quality Systems
Kenya,17958,Palladium Group,Afyainfo National Mechanism Follow on (HIGDA)
Kenya,18508,Center for Health Solutions (CHS),CHS Naishi
Kenya,13474,Hope Worldwide,HIV Prevention for MARPS
Kenya,18504,University of Maryland Baltimore,UMB Timiza
Kenya,13543,Elizabeth Glaser Pediatric AIDS Foundation,PAMOJA
Kenya,17190,Life Skills Promoters,Wezesha Project
Kenya,2866,CENTERS FOR HEALTH SOLUTIONS,DUMISHA/TEGEMEZA
Kenya,13588,Program for Appropriate Technology in Health,APHIAplus Nyanza/Western
Kenya,18514,Hope Worldwide,HWWK Nairobi Eastern
Kenya,14034,Equity Group Foundation,The OVC Scholarship and Leadership Program
Kenya,18207,Columbia University,Columbia STARS
Kenya,14015,"IntraHealth International, Inc",FUNZO Kenya
Kenya,13546,Henry Jackson Foundation,Kisumu West
Kenya,13546,Henry Jackson Foundation,Kisumu West (Placeholder)
Kenya,12540,University of North Carolina,MEASURE Evaluation
Kenya,11406,U.S. Department of State,Community Grants Program
Kenya,18513,Liverpool VCT and Care,LVCT Steps
Kenya,12530,Nyanza Reproductive Health Society,Provision of VMMC
Kenya,18284,Catholic Relief Services,"CASE: Orphans and Vulnerable Children (OVC) Program, Central, Eastern and Part of Rift Valley in Kenya"
Kenya,18284,TBD,OVC Follow On Western  Nyanza
Kenya,17711,"National Blood Transfusion Service, Kenya",Implementation and expansion of blood safety
Kenya,18497,TBD,TBD - HIV/AIDS Clinical Services Cluster 4
Kenya,13340,FHI 360,APHIAPlus Rift Valley
Kenya,18511,Christian Health Association of Kenya,CHAK CHAP Uzima
Kenya,9171,Henry Jackson Foundation,South Rift Valley
Kenya,9171,Henry Jackson Foundation,South Rift Valley (Placeholder)
Kenya,18209,Liverpool VCT and Care,LVCT Daraja
Kenya,18283,Christian Aid,"CASE: Orphans and Vulnerable Children (OVC) Program, Central, Eastern and Part of Rift Valley in Kenya"
Kenya,18283,TBD,OVC Follow On Rift and Central
Kenya,18506,University of California at San Francisco,UCSF Clinical Kisumu
Kenya,13366,Christian Health Association of Kenya,"Expanding High Quality HIV Prevention, Care and Treatment within Faith-Based Health Facilities"
Kenya,7139,Palladium Group,HP Plus
Kenya,18215,Coptic Hospital,Coptic Hospitals
Kenya,70110,TBD,TBD - Kenya Defence Forces
Kenya,70109,TBD,TBD - Kisumu West
Kenya,18494,Program for Appropriate Technology in Health,HIV AIDS Clinical Services Cluster 1
Kenya,18494,Program for Appropriate Technology in Health,HIV Service Delivery Support Activity (HSDSA) - Cluster 1
Kenya,13302,Hope Worldwide,HIV Prevention Activities for Youth and General Population
Kenya,13545,U.S. Peace Corps,Peace Corps
Kenya,13802,University of Nairobi,"Central Province Response Integration, Strengthening & Sustainability Project (CRISSP)"
Kenya,18492,Henry Jackson Foundation,Kenya Department of Defense (Named November 2017)
Kenya,17709,"IntraHealth International, Inc",HRH Kenya
Kenya,16705,United Nations Office on Drug and Crime (UNODC),IDU - HIV Combination Prevention
Kenya,18217,County Government of Siaya,Ngima for Sure
Kenya,18493,TBD,TBD - Viral Load Lab
Kenya,12664,African Medical and Research Foundation,Clinical Services
Kenya,18512,University of Nairobi,UON COE Niche
Kenya,16670,University of Nairobi,HIV Fellowship Program
Kenya,17707,PLAN International,Nilinde Project
Kenya,17718,Interchurch Medical Assistance,Afya Jijini
Kenya,12054,CHF International,Healthy Outcomes through Prevention Education (HOPE)
Kenya,18206,Kenya Conference of Catholic Bishops,KCCB KARP
Kenya,18515,Eastern Deanery AIDS Relief Program,Faith-Based Sites in the Eastern Slums of Nairobi
Kenya,14012,Moi Teaching and Referral Hospital,AMPATHplus
Kenya,13061,MINISTRY OF PUBLIC HEALTH AND SANITATION,Advancement of Public Health Practices in Kenya
Kenya,17191,Reformed Church of East Africa,Watoto Wazima Initiative)
Kenya,17950,University of Maryland,Implementation of Sustainable Laboratory Quality Systems
Kenya,12551,University of California at San Francisco,Clinical Services
Kenya,18208,Impact Research and Development Organization,IRDO Tuungane 3
Kenya,18213,Ministry of Health (MOH),Partnership with MOH on HIV/AIDS and TB Programs
Kenya,18509,African Medical and Research Foundation,AMREF Nairobi Kitui
Kenya,16450,Kenya Community Development Foundation,Global Give Back Circle
Kenya,13354,Kenya Episcopal Conference,Kenya Conference of Catholic Bishops (KCCB)
Kenya,18203,Elizabeth Glaser Pediatric AIDS Foundation,EGPAF Timiza
Kenya,9108,American International Health Alliance Twinning Center,AIHA
Kenya,17951,FHI 360,Implementation of Sustainable Laboratory Quality Systems
Kenya,18490,Henry Jackson Foundation,Kisumu West (Named November 2017)
Kenya,16687,Health Strat Kenya,Kenya Prison Services
Kenya,18205,University of Maryland Baltimore,UMB PACT Kamili
Kenya,18516,Mkomani Society Clinic,Bomu Hospital Affiliated Sites
Kenya,18214,Palladium Group,Health Information Systems Innovations
Kenya,17944,FHI 360,Linkages
Kenya,14022,African Medical and Research Foundation,APHIAplus Imarisha
Kenya,13868,New Partner,Health Communication & Marketing
Kenya,13919,Clinical and Laboratory Standards Institute,Laboratory Regulatory Support
Kenya,13868,TBD,Health Communication Marketing (Follow on)
Kenya,12056,Ananda Marga Universal Relief Teams,Inuka Community Based OVC Project (ICOP)
Kenya,70108,TBD,TBD - South Rift Valley
Kenya,13701,Kenya Medical Supplies Agency,KEMSA Medical Commodities Program
Kenya,16710,Equity Group Foundation,Expanding Health Insurance Coverage
Kenya,18507,Center for Health Solutions (CHS),CHS Tegemeza Plus
Kenya,18491,Henry Jackson Foundation,South Rift Valley (Named November 2017)
Kenya,18505,Center for Health Solutions (CHS),CHS Shinda
Kenya,12585,Columbia University Mailman School of Public Health,Eastern and Western Kenya
Kenya,18495,FHI 360,HIV Service Delivery Support Activity (HSDSA) - Cluster 2
Kenya,18495,FHI 360,HIV/AIDS Clinical Services Cluster 2
Kenya,9143,Henry Jackson Foundation,Kenya Department of Defense
Kenya,9143,Henry Jackson Foundation,Kenya Department of Defense (Placeholder)
Kenya,17954,Global Implementation Solutions,Implementation of Sustainable Laboratory Quality Systems
Kenya,13636,JHPIEGO,APHIAplus Central/Eastern
Lesotho,18143,Catholic Relief Services,4Children ? Coordinating Comprehensive Care for Children
Lesotho,70167,TBD,OVC Project
Lesotho,17432,Ministry of Health (MOH),"Support Ministry of Health to Strengthen Health Systems and Coordinate HIV/AIDS Prevention, Care and Treatment  Programs in the Kingdom of Lesotho under the President?s Emergency Plan for AIDS Relief (PEPFAR)"
Lesotho,18641,Mothers 2 Mothers,RISE II
Lesotho,17549,JHPIEGO,TSEPO
Lesotho,18235,"Right To Care, South Africa",EQUIP
Lesotho,17431,"University Research Corporation, LLC",Support Laboratory Diagnosis and Monitoring to Scale up and Improve HIV/AIDS Care and Treatment Services in the Kingdom of Lesotho under the President?s Emergency Plan for AIDS Relief (PEPFAR)
Lesotho,13981,Population Services International,"TARGET: Increasing access to HIV counseling, testing and enhancing HIV/AIDS prevention"
Lesotho,17401,Elizabeth Glaser Pediatric AIDS Foundation,Strengthening Tuberculosis and HIV Response in Lesotho (STAR-L)
Lesotho,18641,TBD,RISE III
Lesotho,70159,TBD,DOD TBD
Lesotho,17429,Population Services International,LDF Comprehensive Clinical Support Program
Lesotho,14301,Population Services International,LETLAMA
Lesotho,18020,Elizabeth Glaser Pediatric AIDS Foundation,Providing Universal Services for HIV/AIDS (PUSH)
Lesotho,70166,FHI 360,LINKAGES
Lesotho,18227,Population Services International,Scaling-up Targeted Community Based HTS and Linkage to Treatment in Lesotho
Lesotho,18048,Global Health Supply Chain Program,Global Health Supply Chain Management
Lesotho,11018,U.S. Peace Corps,Peace Corps
Lesotho,16768,Mothers 2 Mothers,Mentor Mothers Reducing Infections Through Support and Education (RISE)
Lesotho,11030,U.S. Department of State,PEPFAR Small Grants Program
Lesotho,16766,"University Research Corporation, LLC",Applying Science to Strengthen and Improve Systems (ASSIST)
Lesotho,18240,Vodafone Foundation,Vodafone
Lesotho,18643,John Snow Inc (JSI),AIDSFREE
Malawi,18305,Chemonics International,HRH 2030
Malawi,14441,Lighthouse,"Center of Excellence for Comprehensive Integrated HIV Care and Treatment Services in Lilongwe, Malawi"
Malawi,18234,"Right To Care, South Africa",EQUIP
Malawi,16716,Counterpart International,STEPS
Malawi,18142,Population Services International,SIFPO 2
Malawi,14113,Elizabeth Glaser Pediatric AIDS Foundation,District Health System Strengthening and Quality Improvement for Service Delivery in Malawi under PEPFAR
Malawi,18245,Christian Health Association of Malawi,Strengthening Human Resource For Health capacity to Deliver Quality HIV/AIDS services in high burden sites under PEPFAR
Malawi,11453,U.S. Peace Corps,Peace Corps Volunteers
Malawi,70188,TBD,TASC 4
Malawi,17097,Project Concern International,DOD Support to Malawi Defense Force HIV AIDS Program
Malawi,18544,Elizabeth Glaser Pediatric AIDS Foundation,"Achieving HIV Epidemic Control through Scaling Up Quality Testing, Care and Treatment in Malawi under the Presidents Emergency Fund for AIDS Relief (PEPFAR) - Pivot 2"
Malawi,13101,"University Research Corporation, LLC",ASSIST (former Health Care Improvement) Project
Malawi,16704,Johns Hopkins University Center for Communication Programs,One Community (One C)
Malawi,18045,JHPIEGO,Bringing VMMC Services to Scale in the MDF
Malawi,70185,Baylor College of Medicine Children's Foundation,Baylor TSP
Malawi,12131,Christian Health Association of Malawi,"Strengthening the Delivery, Coordination, and Monitoring of HIV Services in Malawi through a Faith-based Institution under the President?s Emergency Plan for AIDS Relief (PEPFAR)"
Malawi,18279,Catholic Relief Services,Coordinating Comprehensive Care for Children (4Children)
Malawi,17585,FHI 360,Linkages
Malawi,17585,FHI 360,LINKAGES
Malawi,18005,KNCV Tuberculosis Foundation,Challenge TB
Malawi,18025,Lighthouse,"Achieving HIV Epidemic Control through Scaling up Quality Testing, Care and Treatment in Malawi under the President?s Plan for AIDS Relief (PEPFAR)"
Malawi,18025,TBD,"Achieving HIV Epidemic Control through Scaling up Quality Testing, Care and Treatment in Malawi under the President?s Plan for AIDS Relief (PEPFAR)"
Malawi,17488,University of Malawi College of Medicine,Improving Medical Education in Malawi under the President?s Emergency Plan for AIDS Relief (PEPFAR)
Malawi,16794,JHPIEGO,MCHIP/SANKHANI
Malawi,9883,Population Services International,Prevention for Populations and Settings with High Risk Behaviors
Malawi,18479,Marie Stopes International,SIFPO 2 BLM
Malawi,17341,"University Research Corporation, LLC","Strengthening High Quality Laboratory Services Scale-Up for HIV Diagnosis, Care, Treatment and Monitoring in Malawi under the President's Emergency Plan for AIDS Relief (PEPFAR)"
Malawi,18654,JHPIEGO,Strengthening High Impact Interventions for an AIDS-free Generation(AIDSFree) Project
Malawi,18654,John Snow Inc (JSI),AIDS-free Malawi
Malawi,17594,Population Services International,SIFPO
Malawi,16678,Management Sciences for Health,District Health System Strengthening and Quality Improvement for Service Delivery in Malawi under PEPFAR
Malawi,16486,Save The Children Federation Inc,ASPIRE
Malawi,70189,TBD,SIFPO 2 follow on
Malawi,18247,JHPIEGO,Technical Assistance to Provide High-Quality Voluntary Medical Male Circumcision (VMMC) Services to Programs Supported by the President?s Emergency Plan for AIDS Relief (PEPFAR)
Malawi,18244,JHPIEGO,Addressing unmet need in HIV Testing Services (HTS) through effective delivery models under PEPFAR
Malawi,18244,TBD,TBD GATEWAY
